p,T,viscosity,Phase
2.50E+06,382.8,0.0001093,liquid
3.00E+06,382.8,0.0001106,liquid
3.32E+06,382.8,0.0001116,liquid
3.50E+06,382.8,0.000112,liquid
4.00E+06,382.8,0.0001128,liquid
5.00E+06,382.8,0.0001164,liquid
2.00E+06,425.2,7.30E-05,liquid
2.50E+06,425.2,7.48E-05,liquid
3.00E+06,425.2,7.60E-05,liquid
3.32E+06,425.2,7.80E-05,liquid
3.50E+06,425.2,7.83E-05,liquid
4.00E+06,425.2,7.97E-05,liquid
5.00E+06,425.2,8.25E-05,liquid
2.50E+06,447.3,5.63E-05,liquid
3.00E+06,447.3,5.90E-05,liquid
3.32E+06,447.3,6.03E-05,liquid
3.50E+06,447.3,6.11E-05,liquid
4.00E+06,447.3,6.25E-05,liquid
5.00E+06,447.3,6.63E-05,liquid
3.00E+06,457.1,4.90E-05,liquid
3.32E+06,457.1,5.13E-05,liquid
3.50E+06,457.1,5.21E-05,liquid
4.00E+06,457.1,5.55E-05,liquid
5.00E+06,457.1,6.07E-05,liquid
3.32E+06,464.1,4.44E-05,liquid
3.50E+06,464.1,4.61E-05,liquid
4.00E+06,464.1,5.04E-05,liquid
5.00E+06,464.1,5.57E-05,liquid
